Document,Gemini,GPT,Summary_Vietnamese,Summary_English
[11]_51_2025_ND-CP_m_643687.doc,Nghị định sửa đổi,"Nghị định sửa đổi, bổ sung quy định về lệ phí trước bạ đối với ô tô điện chạy pin, theo đó từ khi nghị định có hiệu lực đến hết ngày 28/02/2027, ô tô điện chạy pin được áp dụng mức lệ phí trước bạ lần đầu là 0%. Các cơ quan, tổ chức, cá nhân liên quan có trách nhiệm thi hành.","Nghị định sửa đổi, bổ sung quy định về lệ phí trước bạ đối với ô tô điện chạy pin, theo đó từ khi nghị định có hiệu lực đến hết ngày 28/02/2027, ô tô điện chạy pin được áp dụng mức lệ phí trước bạ lần đầu là 0%, các cơ quan, tổ chức, cá nhân liên quan có trách nhiệm thi hành.","The decree amends and supplements regulations on registration fees for battery electric vehicles, stipulating that from its effective date until February 28, 2027, new battery electric vehicles are subject to a 0% initial registration fee, with relevant agencies, organizations, and individuals responsible for implementation."
[12]_110_2025_UBTVQH15_m_665865.doc,Nghị quyết quy định điều chỉnh tăng mức giảm trừ gia cảnh của thuế thu nhập cá nhân lên 15,"Nghị quyết điều chỉnh mức giảm trừ gia cảnh của thuế thu nhập cá nhân, quy định mức giảm trừ đối với người nộp thuế là 15,5 triệu đồng/tháng và mỗi người phụ thuộc là 6,2 triệu đồng/tháng, áp dụng từ kỳ tính thuế năm 2026 và thay thế quy định trước đó. Các tổ chức, cá nhân liên quan thực hiện theo quy định.","Nghị quyết điều chỉnh mức giảm trừ gia cảnh của thuế thu nhập cá nhân, quy định mức giảm trừ đối với người nộp thuế là 15,5 triệu đồng/tháng và mỗi người phụ thuộc là 6,2 triệu đồng/tháng, áp dụng từ kỳ tính thuế năm 2026, thay thế quy định trước đó; các tổ chức, cá nhân liên quan thực hiện theo quy định.","The resolution adjusts the personal income tax deductions, setting the deduction for taxpayers at 15.5 million VND/month and 6.2 million VND/month for each dependent, effective from the 2026 tax period, replacing previous provisions; relevant organizations and individuals must comply accordingly."
[13]_46_2025_QD-TTg_m_684391.doc,Quyết định bãi bỏ toàn bộ Quyết định số 53/2012/QĐ-TTg ngày 22/11/2012 của Thủ tướng Chính phủ về lộ trình áp dụng tỷ lệ phối trộn nhiên liệu sinh học với nhiên liệu truyền thống. Văn bản có hiệu lực thi hành từ ngày 01/02/2026; các Bộ trưởng,"Quyết định bãi bỏ toàn bộ Quyết định số 53/2012/QĐ-TTg về lộ trình áp dụng tỷ lệ phối trộn nhiên liệu sinh học với nhiên liệu truyền thống, có hiệu lực từ ngày 01/02/2026. Các cơ quan, tổ chức liên quan chịu trách nhiệm thi hành.","Quyết định bãi bỏ toàn bộ Quyết định số 53/2012/QĐ-TTg ngày 22/11/2012 của Thủ tướng Chính phủ về lộ trình phối trộn nhiên liệu sinh học với nhiên liệu truyền thống, có hiệu lực từ ngày 01/02/2026. Các bộ, cơ quan, tổ chức liên quan chịu trách nhiệm thi hành.","The decision abolishes Decision No. 53/2012/QĐ-TTg dated November 22, 2012, of the Prime Minister on the roadmap for blending biofuels with conventional fuels, effective from February 1, 2026. Relevant ministries, agencies, and organizations are responsible for implementation."
[14]_114_2025_ND-CP_m_659614.doc,"Nghị định sửa đổi nội dung khoản 12 Điều 3 của Nghị định số 41/2025/NĐ-CP nhằm bổ sung ""Báo VietNamNet"" vào cơ cấu tổ chức của Bộ Dân tộc và Tôn giáo. Nghị định có hiệu lực thi hành kể từ ngày ký ban hành (03/6/2025) và yêu cầu các cơ quan ngang bộ","Nghị định sửa đổi khoản 12 Điều 3 của Nghị định 41/2025/NĐ-CP, quy định về chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Dân tộc và Tôn giáo, trong đó bổ sung nội dung “Báo VietNamNet”. Các cơ quan liên quan chịu trách nhiệm thi hành kể từ ngày nghị định có hiệu lực.","Nghị định sửa đổi khoản 12 Điều 3 của Nghị định 41/2025/NĐ-CP, bổ sung ""Báo VietNamNet"" vào cơ cấu tổ chức của Bộ Dân tộc và Tôn giáo, có hiệu lực kể từ ngày ký 03/6/2025; các cơ quan liên quan chịu trách nhiệm thi hành.","The decree amends Clause 12, Article 3 of Decree 41/2025/ND-CP to include ""VietNamNet Newspaper"" in the organizational structure of the Ministry of Ethnic and Religious Affairs, effective from the signing date, June 3, 2025; relevant agencies are responsible for implementation."
[15]_87_CD-TTg_m_660719.doc,Công điện yêu cầu các Bộ,"Công điện yêu cầu tiếp tục đẩy mạnh phân cấp, phân quyền và phân định thẩm quyền nhằm chuẩn bị vận hành mô hình chính quyền địa phương 02 cấp từ ngày 01/7/2025; yêu cầu địa phương triển khai đầy đủ các nghị định, tổng hợp khó khăn và các bộ, ngành theo dõi, hướng dẫn, công bố thông tư và hỗ trợ giải đáp vướng mắc.","Công điện yêu cầu tiếp tục đẩy mạnh phân cấp, phân quyền và phân định thẩm quyền để chuẩn bị vận hành mô hình chính quyền địa phương hai cấp từ ngày 01/7/2025, đồng thời các địa phương triển khai đầy đủ các nghị định, tổng hợp khó khăn; các bộ, ngành theo dõi, hướng dẫn, công bố thông tư và hỗ trợ giải đáp vướng mắc.","The urgent dispatch calls for continuing to strengthen decentralization, delegation, and authority delineation to prepare for the operation of the two-tier local government model from July 1, 2025, while localities fully implement the decrees and compile difficulties; ministries and sectors are to monitor, guide, publish circulars, and provide assistance in resolving issues."
[16]_149_2025_QH15_m_679698.doc,Luật sửa đổi,"Luật sửa đổi, bổ sung một số điều của Luật Thuế giá trị gia tăng, bao gồm quy định về miễn kê khai và tính thuế GTGT đối với sản phẩm chưa chế biến hoặc sơ chế, sửa đổi các khoản liên quan đến hàng hóa, dịch vụ có mức doanh thu thấp, phế phẩm, phụ phẩm, phế liệu và bãi bỏ một số khoản tại Điều 12 và Điều 15. Luật có hiệu lực từ ngày 01/01/2026.","Luật sửa đổi, bổ sung một số điều của Luật Thuế giá trị gia tăng, bao gồm miễn kê khai và tính thuế GTGT đối với sản phẩm chưa chế biến hoặc sơ chế, điều chỉnh các khoản liên quan đến hàng hóa, dịch vụ có mức doanh thu thấp, phế phẩm, phụ phẩm, phế liệu và bãi bỏ một số khoản tại Điều 12 và Điều 15, có hiệu lực từ ngày 01/01/2026.","The Law amending and supplementing certain provisions of the Value-Added Tax Law includes exemptions from declaration and VAT calculation for unprocessed or semi-processed products, adjustments to provisions regarding low-revenue goods and services, by-products, waste, and scrap, and repeals certain clauses in Articles 12 and 15, effective from January 1, 2026."
[17]_18_NQ-CP_m_692961.doc,Chính phủ thống nhất nội dung dự án Luật sửa đổi,"Chính phủ thống nhất nội dung dự án Luật sửa đổi, bổ sung một số điều của Luật Công chứng do Bộ Tư pháp trình, giao Bộ Tư pháp thừa ủy quyền Thủ tướng ký Tờ trình gửi Quốc hội và chịu trách nhiệm hoàn thiện, tiếp thu, chỉnh lý dự án Luật. Phó Thủ tướng Hồ Quốc Dũng được phân công chỉ đạo quá trình hoàn thiện dự án Luật.","Chính phủ thống nhất nội dung dự án Luật sửa đổi, bổ sung một số điều của Luật Công chứng do Bộ Tư pháp trình, giao Bộ Tư pháp thừa ủy quyền Thủ tướng ký Tờ trình gửi Quốc hội và chịu trách nhiệm hoàn thiện, tiếp thu, chỉnh lý dự án Luật, đồng thời phân công Phó Thủ tướng Hồ Quốc Dũng chỉ đạo quá trình hoàn thiện.","The Government agrees on the content of the draft Law amending and supplementing certain articles of the Notarization Law submitted by the Ministry of Justice, entrusting the Ministry to sign the submission to the National Assembly on behalf of the Prime Minister and to be responsible for finalizing, incorporating feedback, and revising the draft Law, while assigning Deputy Prime Minister Ho Quoc Dung to oversee the completion process."
[18]_177_2025_QH15_m_643722.doc,"Quốc hội quyết định cơ cấu số lượng thành viên Chính phủ nhiệm kỳ Quốc hội khóa XV gồm 25 thành viên: Thủ tướng, 07 Phó Thủ tướng, 14 Bộ trưởng và 03 Thủ trưởng cơ quan ngang Bộ. Nghị quyết này có hiệu lực từ ngày 18/02/2025 và thay thế Nghị quyết số 20/2021/QH15 cùng Nghị quyết số 143/2024/QH15.","Quốc hội quyết định cơ cấu số lượng thành viên Chính phủ nhiệm kỳ Quốc hội khóa XV gồm 25 thành viên, bao gồm Thủ tướng, 07 Phó Thủ tướng, 14 Bộ trưởng các Bộ và 03 Thủ trưởng cơ quan ngang Bộ. Nghị quyết này thay thế các nghị quyết trước về cơ cấu số lượng thành viên Chính phủ.","Quốc hội quyết định cơ cấu 25 thành viên Chính phủ nhiệm kỳ Quốc hội khóa XV gồm Thủ tướng, 07 Phó Thủ tướng, 14 Bộ trưởng và 03 Thủ trưởng cơ quan ngang Bộ; nghị quyết có hiệu lực từ ngày 18/02/2025 và thay thế các nghị quyết trước về cơ cấu thành viên Chính phủ.","The National Assembly decided on the structure of 25 members of the Government for the 15th National Assembly term, including the Prime Minister, 7 Deputy Prime Ministers, 14 Ministers, and 3 Heads of ministerial-level agencies; the resolution is effective from February 18, 2025, and replaces previous resolutions on the Government's member structure."
[19]_07_CD-CT_m_699138.doc,Cục Thuế chỉ đạo triển khai Quyết định 482/QĐ-TTg của Thủ tướng Chính phủ về việc áp dụng mức thuế bảo vệ môi trường là 0 đồng/lít,"Cục Thuế triển khai thực hiện Quyết định số 482/QĐ-TTg của Thủ tướng Chính phủ về việc áp dụng mức thuế bảo vệ môi trường, thuế giá trị gia tăng và thuế tiêu thụ đặc biệt đối với xăng, dầu và nhiên liệu bay trong trường hợp cần thiết vì lợi ích quốc gia, với các mức thuế bằng 0 và hướng dẫn kê khai, khấu trừ thuế. Yêu cầu các cơ quan thuế phổ biến, chỉ đạo và chuẩn bị điều kiện đảm bảo thi hành từ ngày 26/3/2026 đến hết ngày 15/4/2026.","Cục Thuế triển khai Quyết định số 482/QĐ-TTg của Thủ tướng Chính phủ về việc áp dụng mức thuế bảo vệ môi trường, thuế giá trị gia tăng và thuế tiêu thụ đặc biệt đối với xăng, dầu và nhiên liệu bay bằng 0, đồng thời hướng dẫn kê khai, khấu trừ thuế và yêu cầu các cơ quan thuế phổ biến, chỉ đạo, chuẩn bị điều kiện thực hiện từ ngày 26/3/2026 đến hết ngày 15/4/2026.","The Tax Department implements Prime Minister’s Decision No. 482/QD-TTg applying 0 environmental protection tax, value-added tax, and special consumption tax on gasoline, oil, and aviation fuel, provides guidance on tax declaration and deduction, and requires tax authorities to disseminate, direct, and prepare for implementation from March 26, 2026, to April 15, 2026."
[20]_25_NQ-CP_m_694932.doc,"Chính phủ cơ bản thống nhất dự án Luật Tiếp cận thông tin (sửa đổi) do Bộ Tư pháp trình. Bộ trưởng Bộ Tư pháp được giao thừa ủy quyền Thủ tướng ký Tờ trình trình Quốc hội khóa XVI tại Kỳ họp thứ nhất, đồng thời chịu trách nhiệm hoàn thiện dự thảo bảo đảm tính khả thi và phối hợp báo cáo, giải trình với Quốc hội. Phó Thủ tướng Hồ Quốc Dũng trực tiếp chỉ đạo quá trình này.","Chính phủ thống nhất nội dung dự án Luật Tiếp cận thông tin (sửa đổi) do Bộ Tư pháp trình, yêu cầu Bộ Tư pháp tiếp thu, chỉnh lý, hoàn thiện dự án Luật, bảo đảm tính khả thi và hiệu quả, phối hợp với Quốc hội trong quá trình thẩm tra và báo cáo giải trình theo quy định. Phân công Phó Thủ tướng Hồ Quốc Dũng chỉ đạo quá trình hoàn thiện và triển khai thực hiện.","Chính phủ cơ bản thống nhất dự án Luật Tiếp cận thông tin (sửa đổi) do Bộ Tư pháp trình, giao Bộ Tư pháp hoàn thiện dự thảo bảo đảm tính khả thi, hiệu quả, phối hợp với Quốc hội trong thẩm tra và báo cáo giải trình; Phó Thủ tướng Hồ Quốc Dũng trực tiếp chỉ đạo quá trình hoàn thiện và triển khai.","The Government broadly agrees with the Draft Law on Access to Information (Amendment) submitted by the Ministry of Justice, assigning the Ministry to finalize the draft ensuring feasibility and effectiveness, coordinate with the National Assembly in appraisal and reporting, with Deputy Prime Minister Ho Quoc Dung directly overseeing the finalization and implementation process."
[21]_217_2025_QH15_m_650944.doc,Nghị quyết quy định chính sách miễn học phí cho trẻ em mầm non,"Nghị quyết quy định chính sách miễn và hỗ trợ học phí cho trẻ em mầm non, học sinh phổ thông, và người học chương trình giáo dục phổ thông trong hệ thống giáo dục quốc dân, bao gồm miễn học phí tại cơ sở công lập và hỗ trợ học phí tại cơ sở dân lập, tư thục. Kinh phí do ngân sách nhà nước bảo đảm và Chính phủ chỉ đạo tổ chức thực hiện từ năm học 2025-2026.","Nghị quyết quy định chính sách miễn và hỗ trợ học phí cho trẻ em mầm non, học sinh phổ thông và người học chương trình giáo dục phổ thông, bao gồm miễn học phí tại cơ sở công lập và hỗ trợ học phí tại cơ sở dân lập, tư thục, với kinh phí do ngân sách nhà nước bảo đảm và thực hiện từ năm học 2025-2026 theo chỉ đạo của Chính phủ.","The resolution stipulates the policy of tuition exemption and support for preschool children, general education students, and learners in the national education system, including free tuition at public institutions and tuition support at private and non-public institutions, funded by the state budget and implemented from the 2025-2026 academic year under the government's direction."
[22]_78_2025_UBTVQH15_m_659904.doc,Nghị quyết ghi nhận thời gian đã đóng bảo hiểm xã hội (BHXH) bắt buộc của chủ hộ kinh doanh trước ngày 01/7/2025 làm căn cứ giải quyết các chế độ BHXH. Đối với trường hợp đủ điều kiện hưởng chế độ trước ngày Nghị quyết có hiệu lực,"Nghị quyết ghi nhận thời gian chủ hộ kinh doanh đã đóng bảo hiểm xã hội bắt buộc trước ngày 01/7/2025 để làm căn cứ giải quyết chế độ bảo hiểm xã hội. Chủ hộ đủ điều kiện trước ngày Nghị quyết có hiệu lực sẽ được hưởng chế độ từ ngày đủ điều kiện. Chính phủ được giao chỉ đạo, hướng dẫn thực hiện và báo cáo kết quả, các cơ quan giám sát việc thực hiện.","Nghị quyết ghi nhận thời gian chủ hộ kinh doanh đã đóng bảo hiểm xã hội bắt buộc trước ngày 01/7/2025 làm căn cứ giải quyết chế độ, chủ hộ đủ điều kiện trước ngày Nghị quyết có hiệu lực sẽ được hưởng chế độ từ ngày đủ điều kiện, Chính phủ chỉ đạo, hướng dẫn thực hiện và báo cáo kết quả, các cơ quan giám sát việc thực hiện.","The resolution recognizes the period during which household business owners have paid compulsory social insurance before July 1, 2025, as a basis for granting benefits; owners eligible before the resolution takes effect will receive benefits from the eligibility date, with the Government directing, guiding implementation, reporting results, and agencies supervising enforcement."
[23]_200_2025_QH15_m_658992.doc,"Quốc hội quyết nghị bổ sung dự toán thu và chi thường xuyên ngân sách trung ương năm 2025 từ nguồn vốn viện trợ không hoàn lại của nước ngoài với tổng số tiền 4.327,121 tỷ đồng cho các Bộ, cơ quan trung ương và địa phương. Chính phủ có trách nhiệm đảm bảo tính chính xác, đúng mục đích, hiệu quả và tuân thủ pháp luật trong việc giao, sử dụng vốn; các cơ quan Quốc hội, Mặt trận Tổ quốc và Kiểm toán nhà nước thực hiện giám sát, kiểm toán quá trình thực thi.","Nghị quyết bổ sung dự toán ngân sách nhà nước năm 2025 nguồn vốn viện trợ không hoàn lại của nước ngoài, với tổng số 4.327,121 tỷ đồng, phân bổ cho các Bộ, cơ quan trung ương và địa phương. Chính phủ chịu trách nhiệm về tính chính xác, tuân thủ tiêu chuẩn, hiệu quả và chống thất thoát. Các cơ quan nhà nước có nhiệm vụ giám sát, kiểm toán việc thực hiện Nghị quyết.","Quốc hội quyết nghị bổ sung dự toán ngân sách nhà nước năm 2025 từ nguồn vốn viện trợ không hoàn lại của nước ngoài với tổng số 4.327,121 tỷ đồng, phân bổ cho các Bộ, cơ quan trung ương và địa phương; Chính phủ chịu trách nhiệm đảm bảo tính chính xác, đúng mục đích, hiệu quả và tuân thủ pháp luật, trong khi các cơ quan Quốc hội, Mặt trận Tổ quốc và Kiểm toán nhà nước giám sát, kiểm toán việc thực hiện.","The National Assembly resolves to supplement the 2025 state budget from foreign non-refundable aid totaling 4,327.121 trillion VND, allocated to ministries, central agencies, and localities; the Government is responsible for ensuring accuracy, proper purpose, effectiveness, and legal compliance, while the National Assembly, the Vietnam Fatherland Front, and the State Audit oversee and audit the implementation."
[24]_176_2025_QH15_m_643732.doc,[Nghị quyết quy định cơ cấu tổ chức của Chính phủ nhiệm kỳ Quốc hội khóa XV gồm 14 Bộ và 03 cơ quan ngang Bộ,"Nghị quyết xác định cơ cấu tổ chức của Chính phủ nhiệm kỳ Quốc hội khóa XV gồm 14 Bộ và 3 cơ quan ngang Bộ, thay thế Nghị quyết số 08/2021/QH15. Các Bộ, cơ quan ngang Bộ chính thức hoạt động từ ngày 01/3/2025 và cơ cấu cũ tiếp tục hoạt động đến hết 28/2/2025.","Nghị quyết quy định cơ cấu tổ chức Chính phủ nhiệm kỳ Quốc hội khóa XV gồm 14 Bộ và 3 cơ quan ngang Bộ, thay thế Nghị quyết số 08/2021/QH15; các Bộ và cơ quan ngang Bộ mới hoạt động từ ngày 01/3/2025, cơ cấu cũ tiếp tục đến hết 28/2/2025.","The resolution defines the organizational structure of the Government for the 15th National Assembly term, consisting of 14 ministries and 3 ministerial-level agencies, replacing Resolution No. 08/2021/QH15; the new ministries and agencies will operate from March 1, 2025, while the previous structure continues until February 28, 2025."
